(-290.10,33.33)
(-289.39,32.92)
(-288.68,33.33)
(-288.68,34.16)
(-289.39,34.57)
(-288.68,34.98)
(-288.68,35.80)
(-289.39,36.21)
(-290.10,35.80)
(-290.10,36.63)
(-290.81,37.04)
(-290.10,37.45)
(-290.10,38.27)
(-289.39,37.86)
(-288.68,38.27)
(-288.68,39.09)
(-289.39,39.51)
(-288.68,39.92)
(-288.68,40.74)
(-289.39,41.15)
(-290.10,40.74)
(-290.10,41.56)
(-290.81,41.98)
(-291.53,41.56)
(-291.53,40.74)
(-292.24,41.15)
(-292.95,40.74)
(-292.95,41.56)
(-293.66,41.98)
(-292.95,42.39)
(-292.95,43.21)
(-293.66,43.62)
(-294.38,43.21)
(-294.38,44.03)
(-295.09,44.44)
(-294.38,44.86)
(-294.38,45.68)
(-293.66,45.27)
(-292.95,45.68)
(-292.95,46.50)
(-293.66,46.91)
(-292.95,47.33)
(-292.95,48.15)
(-292.24,47.74)
(-291.53,48.15)
(-291.53,47.33)
(-290.81,46.91)
(-290.10,47.33)
(-290.10,48.15)
(-289.39,47.74)
(-288.68,48.15)
(-288.68,48.97)
(-289.39,49.38)
(-288.68,49.79)
(-288.68,50.62)
(-289.39,51.03)
(-290.10,50.62)
(-290.10,51.44)
(-290.81,51.85)
(-290.10,52.26)
(-290.10,53.09)
(-289.39,52.67)
(-288.68,53.09)
(-288.68,53.91)
(-289.39,54.32)
(-288.68,54.73)
(-288.68,55.56)
(-289.39,55.97)
(-290.10,55.56)
(-290.10,56.38)
(-290.81,56.79)
(-291.53,56.38)
(-291.53,55.56)
(-292.24,55.97)
(-292.95,55.56)
(-292.95,56.38)
(-293.66,56.79)
(-292.95,57.20)
(-292.95,58.02)
(-293.66,58.44)
(-294.38,58.02)
(-294.38,58.85)
(-295.09,59.26)
(-295.80,58.85)
(-295.80,58.02)
(-296.52,58.44)
(-297.23,58.02)
(-297.23,57.20)
(-296.52,56.79)
(-297.23,56.38)
(-297.23,55.56)
(-297.94,55.97)
(-298.65,55.56)
(-298.65,56.38)
(-299.37,56.79)
(-300.08,56.38)
(-300.08,55.56)
(-300.79,55.97)
(-301.51,55.56)
(-301.51,56.38)
(-302.22,56.79)
(-301.51,57.20)
(-301.51,58.02)
(-302.22,58.44)
(-302.93,58.02)
(-302.93,58.85)
(-303.64,59.26)
(-302.93,59.67)
(-302.93,60.49)
(-302.22,60.08)
(-301.51,60.49)
(-301.51,61.32)
(-302.22,61.73)
(-301.51,62.14)
(-301.51,62.96)
(-302.22,63.37)
(-302.93,62.96)
(-302.93,63.79)
(-303.64,64.20)
(-304.36,63.79)
(-304.36,62.96)
(-305.07,63.37)
(-305.78,62.96)
(-305.78,63.79)
(-306.49,64.20)
(-305.78,64.61)
(-305.78,65.43)
(-306.49,65.84)
(-307.21,65.43)
(-307.21,66.26)
(-307.92,66.67)
(-307.21,67.08)
(-307.21,67.90)
(-306.49,67.49)
(-305.78,67.90)
(-305.78,68.72)
