(-346.41,0.00)
(-346.33,0.05)
(-346.33,0.14)
(-346.25,0.09)
(-346.17,0.14)
(-346.17,0.23)
(-346.25,0.27)
(-346.17,0.32)
(-346.17,0.41)
(-346.09,0.37)
(-346.01,0.41)
(-346.01,0.32)
(-345.93,0.27)
(-345.86,0.32)
(-345.86,0.41)
(-345.78,0.37)
(-345.70,0.41)
(-345.70,0.50)
(-345.78,0.55)
(-345.70,0.59)
(-345.70,0.69)
(-345.78,0.73)
(-345.86,0.69)
(-345.86,0.78)
(-345.93,0.82)
(-345.86,0.87)
(-345.86,0.96)
(-345.78,0.91)
(-345.70,0.96)
(-345.70,1.05)
(-345.78,1.10)
(-345.70,1.14)
(-345.70,1.23)
(-345.62,1.19)
(-345.54,1.23)
(-345.54,1.14)
(-345.46,1.10)
(-345.38,1.14)
(-345.38,1.23)
(-345.30,1.19)
(-345.22,1.23)
(-345.22,1.14)
(-345.14,1.10)
(-345.22,1.05)
(-345.22,0.96)
(-345.14,0.91)
(-345.06,0.96)
(-345.06,0.87)
(-344.98,0.82)
(-344.91,0.87)
(-344.91,0.96)
(-344.83,0.91)
(-344.75,0.96)
(-344.75,1.05)
(-344.83,1.10)
(-344.75,1.14)
(-344.75,1.23)
(-344.67,1.19)
(-344.59,1.23)
(-344.59,1.14)
(-344.51,1.10)
(-344.43,1.14)
(-344.43,1.23)
(-344.35,1.19)
(-344.27,1.23)
(-344.27,1.33)
(-344.35,1.37)
(-344.27,1.42)
(-344.27,1.51)
(-344.35,1.55)
(-344.43,1.51)
(-344.43,1.60)
(-344.51,1.65)
(-344.43,1.69)
(-344.43,1.78)
(-344.35,1.74)
(-344.27,1.78)
(-344.27,1.87)
(-344.35,1.92)
(-344.27,1.97)
(-344.27,2.06)
(-344.35,2.10)
(-344.43,2.06)
(-344.43,2.15)
(-344.51,2.19)
(-344.59,2.15)
(-344.59,2.06)
(-344.67,2.10)
(-344.75,2.06)
(-344.75,2.15)
(-344.83,2.19)
(-344.75,2.24)
(-344.75,2.33)
(-344.83,2.38)
(-344.91,2.33)
(-344.91,2.42)
(-344.98,2.47)
(-344.91,2.51)
(-344.91,2.61)
(-344.83,2.56)
(-344.75,2.61)
(-344.75,2.70)
(-344.83,2.74)
(-344.75,2.79)
(-344.75,2.88)
(-344.67,2.83)
(-344.59,2.88)
(-344.59,2.79)
(-344.51,2.74)
(-344.43,2.79)
(-344.43,2.88)
(-344.35,2.83)
(-344.27,2.88)
(-344.27,2.97)
(-344.35,3.02)
(-344.27,3.06)
(-344.27,3.16)
(-344.35,3.20)
(-344.43,3.16)
(-344.43,3.25)
(-344.51,3.29)
(-344.43,3.34)
(-344.43,3.43)
(-344.35,3.38)
(-344.27,3.43)
(-344.27,3.52)
(-344.35,3.57)
(-344.27,3.61)
(-344.27,3.70)
(-344.19,3.66)
(-344.11,3.70)
(-344.11,3.61)
(-344.03,3.57)
(-343.96,3.61)
(-343.96,3.70)
(-343.88,3.66)
(-343.80,3.70)
(-343.80,3.61)
(-343.72,3.57)
(-343.80,3.52)
(-343.80,3.43)
(-343.72,3.38)
(-343.64,3.43)
(-343.64,3.34)
(-343.56,3.29)
(-343.48,3.34)
(-343.48,3.43)
(-343.40,3.38)
(-343.32,3.43)
(-343.32,3.52)
(-343.40,3.57)
(-343.32,3.61)
(-343.32,3.70)
(-343.24,3.66)
(-343.16,3.70)
(-343.16,3.61)
(-343.08,3.57)
(-343.00,3.61)
(-343.00,3.70)
(-342.93,3.66)
(-342.85,3.70)
(-342.85,3.61)
(-342.77,3.57)
(-342.85,3.52)
(-342.85,3.43)
(-342.77,3.38)
(-342.69,3.43)
(-342.69,3.34)
(-342.61,3.29)
(-342.69,3.25)
(-342.69,3.16)
(-342.77,3.20)
(-342.85,3.16)
(-342.85,3.06)
(-342.77,3.02)
(-342.85,2.97)
(-342.85,2.88)
(-342.77,2.83)
(-342.69,2.88)
(-342.69,2.79)
(-342.61,2.74)
(-342.53,2.79)
(-342.53,2.88)
(-342.45,2.83)
(-342.37,2.88)
(-342.37,2.79)
(-342.29,2.74)
(-342.37,2.70)
(-342.37,2.61)
(-342.29,2.56)
(-342.21,2.61)
(-342.21,2.51)
(-342.13,2.47)
(-342.05,2.51)
(-342.05,2.61)
(-341.98,2.56)
(-341.90,2.61)
(-341.90,2.70)
(-341.98,2.74)
(-341.90,2.79)
(-341.90,2.88)
(-341.82,2.83)
(-341.74,2.88)
(-341.74,2.79)
(-341.66,2.74)
(-341.58,2.79)
(-341.58,2.88)
(-341.50,2.83)
(-341.42,2.88)
(-341.42,2.97)
(-341.50,3.02)
(-341.42,3.06)
(-341.42,3.16)
(-341.50,3.20)
(-341.58,3.16)
(-341.58,3.25)
(-341.66,3.29)
(-341.58,3.34)
(-341.58,3.43)
(-341.50,3.38)
(-341.42,3.43)
(-341.42,3.52)
(-341.50,3.57)
(-341.42,3.61)
(-341.42,3.70)
(-341.34,3.66)
(-341.26,3.70)
(-341.26,3.61)
(-341.18,3.57)
(-341.10,3.61)
(-341.10,3.70)
(-341.02,3.66)
(-340.95,3.70)
(-340.95,3.61)
(-340.87,3.57)
(-340.95,3.52)
(-340.95,3.43)
(-340.87,3.38)
(-340.79,3.43)
(-340.79,3.34)
(-340.71,3.29)
(-340.63,3.34)
(-340.63,3.43)
(-340.55,3.38)
(-340.47,3.43)
(-340.47,3.52)
(-340.55,3.57)
(-340.47,3.61)
(-340.47,3.70)
(-340.39,3.66)
(-340.31,3.70)
(-340.31,3.61)
(-340.23,3.57)
(-340.15,3.61)
(-340.15,3.70)
(-340.07,3.66)
(-340.00,3.70)
(-340.00,3.80)
(-340.07,3.84)
(-340.00,3.89)
(-340.00,3.98)
(-340.07,4.02)
(-340.15,3.98)
(-340.15,4.07)
(-340.23,4.12)
(-340.15,4.16)
(-340.15,4.25)
(-340.07,4.21)
(-340.00,4.25)
(-340.00,4.34)
(-340.07,4.39)
(-340.00,4.44)
(-340.00,4.53)
(-340.07,4.57)
(-340.15,4.53)
(-340.15,4.62)
(-340.23,4.66)
(-340.31,4.62)
(-340.31,4.53)
(-340.39,4.57)
(-340.47,4.53)
(-340.47,4.62)
(-340.55,4.66)
(-340.47,4.71)
(-340.47,4.80)
(-340.55,4.85)
(-340.63,4.80)
(-340.63,4.89)
(-340.71,4.94)
(-340.63,4.98)
(-340.63,5.08)
(-340.55,5.03)
(-340.47,5.08)
(-340.47,5.17)
(-340.55,5.21)
(-340.47,5.26)
(-340.47,5.35)
(-340.39,5.30)
(-340.31,5.35)
(-340.31,5.26)
(-340.23,5.21)
(-340.15,5.26)
(-340.15,5.35)
(-340.07,5.30)
(-340.00,5.35)
(-340.00,5.44)
(-340.07,5.49)
(-340.00,5.53)
(-340.00,5.62)
(-340.07,5.67)
(-340.15,5.62)
(-340.15,5.72)
(-340.23,5.76)
(-340.15,5.81)
(-340.15,5.90)
(-340.07,5.85)
(-340.00,5.90)
(-340.00,5.99)
(-340.07,6.04)
(-340.00,6.08)
(-340.00,6.17)
(-340.07,6.22)
(-340.15,6.17)
(-340.15,6.26)
(-340.23,6.31)
(-340.31,6.26)
(-340.31,6.17)
(-340.39,6.22)
(-340.47,6.17)
(-340.47,6.26)
(-340.55,6.31)
(-340.47,6.36)
(-340.47,6.45)
(-340.55,6.49)
(-340.63,6.45)
(-340.63,6.54)
(-340.71,6.58)
(-340.79,6.54)
(-340.79,6.45)
(-340.87,6.49)
(-340.95,6.45)
(-340.95,6.36)
(-340.87,6.31)
(-340.95,6.26)
(-340.95,6.17)
(-341.02,6.22)
(-341.10,6.17)
(-341.10,6.26)
(-341.18,6.31)
(-341.26,6.26)
(-341.26,6.17)
(-341.34,6.22)
(-341.42,6.17)
(-341.42,6.26)
(-341.50,6.31)
(-341.42,6.36)
(-341.42,6.45)
(-341.50,6.49)
(-341.58,6.45)
(-341.58,6.54)
(-341.66,6.58)
(-341.58,6.63)
(-341.58,6.72)
(-341.50,6.68)
(-341.42,6.72)
(-341.42,6.81)
(-341.50,6.86)
(-341.42,6.90)
(-341.42,7.00)
(-341.50,7.04)
(-341.58,7.00)
(-341.58,7.09)
(-341.66,7.13)
(-341.74,7.09)
(-341.74,7.00)
(-341.82,7.04)
(-341.90,7.00)
(-341.90,7.09)
(-341.98,7.13)
(-341.90,7.18)
(-341.90,7.27)
(-341.98,7.32)
(-342.05,7.27)
(-342.05,7.36)
(-342.13,7.41)
(-342.05,7.45)
(-342.05,7.54)
(-341.98,7.50)
(-341.90,7.54)
(-341.90,7.64)
(-341.98,7.68)
(-341.90,7.73)
(-341.90,7.82)
(-341.82,7.77)
(-341.74,7.82)
(-341.74,7.73)
(-341.66,7.68)
(-341.58,7.73)
(-341.58,7.82)
(-341.50,7.77)
(-341.42,7.82)
(-341.42,7.91)
(-341.50,7.96)
(-341.42,8.00)
(-341.42,8.09)
(-341.50,8.14)
(-341.58,8.09)
(-341.58,8.18)
(-341.66,8.23)
(-341.58,8.28)
(-341.58,8.37)
(-341.50,8.32)
(-341.42,8.37)
(-341.42,8.46)
(-341.50,8.50)
(-341.42,8.55)
(-341.42,8.64)
(-341.34,8.60)
(-341.26,8.64)
(-341.26,8.55)
(-341.18,8.50)
(-341.10,8.55)
(-341.10,8.64)
(-341.02,8.60)
(-340.95,8.64)
(-340.95,8.55)
(-340.87,8.50)
(-340.95,8.46)
(-340.95,8.37)
(-340.87,8.32)
(-340.79,8.37)
(-340.79,8.28)
(-340.71,8.23)
(-340.63,8.28)
(-340.63,8.37)
(-340.55,8.32)
(-340.47,8.37)
(-340.47,8.46)
(-340.55,8.50)
(-340.47,8.55)
(-340.47,8.64)
(-340.39,8.60)
(-340.31,8.64)
(-340.31,8.55)
(-340.23,8.50)
(-340.15,8.55)
(-340.15,8.64)
(-340.07,8.60)
(-340.00,8.64)
(-340.00,8.73)
(-340.07,8.78)
(-340.00,8.82)
(-340.00,8.92)
(-340.07,8.96)
(-340.15,8.92)
(-340.15,9.01)
(-340.23,9.05)
(-340.15,9.10)
(-340.15,9.19)
